Class Name,Line Coverage (%),Mutation Coverage (%)
PreemptivePriorityScheduling.java,83.0,100.0
RRScheduling.java,91.0,83.0
SJFScheduling.java,100.0,80.0
SRTFScheduling.java,87.0,65.0
CoinChange.java,82.0,100.0
FractionalKnapsack.java,88.0,93.0
JobSequencing.java,92.0,94.0
MinimizingLateness.java,78.0,63.0
Deques.java,0.0,0.0
GenericArrayListQueue.java,0.0,0.0
LinkedQueue.java,40.0,44.0
PriorityQueues.java,83.0,67.0
Queues.java,0.0,0.0
A5KeyStreamGenerator.java,0.0,0.0
CompositeLFSR.java,0.0,0.0
LFSR.java,97.0,59.0
Utils.java,0.0,0.0
DecimalToAnyUsingStack.java,0.0,0.0
DuplicateBrackets.java,0.0,0.0
InfixToPostfix.java,0.0,0.0
LargestRectangle.java,0.0,0.0
MaximumMinimumWindow.java,0.0,0.0
NextGreaterElement.java,0.0,0.0
NextSmallerElement.java,0.0,0.0
PostfixToInfix.java,0.0,0.0
StackPostfixNotation.java,92.0,95.0
GenericHeap.java,0.0,0.0
HeapElement.java,0.0,0.0
LeftistHeap.java,92.0,90.0
MaxHeap.java,0.0,0.0
MinHeap.java,0.0,0.0
MinPriorityQueue.java,0.0,0.0
BinarySearch2dArray.java,94.0,81.0
BreadthFirstSearch.java,100.0,100.0
DepthFirstSearch.java,100.0,100.0
ExponentalSearch.java,0.0,0.0
FibonacciSearch.java,0.0,0.0
HowManyTimesRotated.java,45.0,39.0
InterpolationSearch.java,0.0,0.0
IterativeBinarySearch.java,0.0,0.0
IterativeTernarySearch.java,0.0,0.0
JumpSearch.java,0.0,0.0
KMPSearch.java,100.0,75.0
LinearSearch.java,0.0,0.0
LinearSearchThread.java,0.0,0.0
LowerBound.java,0.0,0.0
MonteCarloTreeSearch.java,0.0,0.0
OrderAgnosticBinarySearch.java,87.0,84.0
PerfectBinarySearch.java,100.0,92.0
QuickSelect.java,96.0,81.0
RabinKarpAlgorithm.java,92.0,95.0
RecursiveBinarySearch.java,37.0,50.0
RowColumnWiseSorted2dArrayBinarySearch.java,85.0,77.0
SaddlebackSearch.java,0.0,0.0
SearchInARowAndColWiseSortedMatrix.java,100.0,82.0
SquareRootBinarySearch.java,0.0,0.0
TernarySearch.java,0.0,0.0
UnionFind.java,0.0,0.0
UpperBound.java,0.0,0.0
sortOrderAgnosticBinarySearch.java,72.0,53.0
BoundaryFill.java,0.0,0.0
BruteForceKnapsack.java,0.0,0.0
CatalanNumber.java,50.0,77.0
ClimbingStairs.java,82.0,100.0
CoinChange.java,0.0,0.0
CountFriendsPairing.java,70.0,75.0
DiceThrow.java,0.0,0.0
EditDistance.java,0.0,0.0
EggDropping.java,70.0,85.0
Fibonacci.java,0.0,0.0
FordFulkerson.java,0.0,0.0
KadaneAlgorithm.java,75.0,60.0
Knapsack.java,88.0,95.0
KnapsackMemoization.java,100.0,96.0
LevenshteinDistance.java,90.0,100.0
LongestAlternatingSubsequence.java,0.0,0.0
LongestCommonSubsequence.java,0.0,0.0
LongestIncreasingSubsequence.java,96.0,88.0
LongestPalindromicSubsequence.java,0.0,0.0
LongestPalindromicSubstring.java,0.0,0.0
LongestValidParentheses.java,0.0,0.0
MatrixChainMultiplication.java,0.0,0.0
MatrixChainRecursiveTopDownMemoisation.java,0.0,0.0
MinimumPathSum.java,87.0,100.0
MinimumSumPartition.java,88.0,86.0
NewManShanksPrime.java,75.0,89.0
OptimalJobScheduling.java,100.0,71.0
PalindromicPartitioning.java,0.0,0.0
PartitionProblem.java,50.0,100.0
RegexMatching.java,0.0,0.0
RodCutting.java,0.0,0.0
ShortestCommonSupersequenceLength.java,0.0,0.0
SubsetCount.java,93.0,97.0
SubsetSum.java,64.0,62.0
SumOfSubset.java,78.0,92.0
Tribonacci.java,82.0,100.0
UniquePaths.java,94.0,100.0
WildcardMatching.java,89.0,96.0
WineProblem.java,0.0,0.0
GSet.java,100.0,100.0
LWWElementSet.java,83.0,70.0
ORSet.java,100.0,81.0
PNCounter.java,93.0,89.0
TwoPSet.java,100.0,100.0
Alphabetical.java,43.0,100.0
Anagrams.java,75.0,64.0
CharactersSame.java,42.0,100.0
CheckAnagrams.java,91.0,87.0
CheckVowels.java,70.0,86.0
HammingDistance.java,80.0,100.0
HorspoolSearch.java,95.0,95.0
Isomorphic.java,0.0,0.0
LetterCombinationsOfPhoneNumber.java,69.0,67.0
LongestPalindromicSubstring.java,0.0,0.0
Lower.java,50.0,100.0
MyAtoi.java,62.0,54.0
Palindrome.java,86.0,85.0
Pangram.java,72.0,83.0
PermuteString.java,0.0,0.0
ReverseString.java,67.0,80.0
ReverseStringRecursive.java,60.0,67.0
ReverseWordsInString.java,60.0,100.0
Rotation.java,10.0,8.0
StringCompression.java,92.0,91.0
Upper.java,50.0,88.0
ValidParentheses.java,83.0,80.0
WordLadder.java,86.0,93.0
longestNonRepeativeSubstring.java,91.0,63.0
LRUCache.java,78.0,42.0
MRUCache.java,78.0,42.0
ClosestPair.java,0.0,0.0
SkylineAlgorithm.java,0.0,0.0
StrassenMatrixMultiplication.java,100.0,89.0
ArrayCombination.java,78.0,100.0
Combination.java,90.0,88.0
FloodFill.java,88.0,81.0
KnightsTour.java,0.0,0.0
MColoring.java,92.0,86.0
MazeRecursion.java,32.0,26.0
NQueens.java,0.0,0.0
ParenthesesGenerator.java,87.0,100.0
Permutation.java,88.0,89.0
PowerSum.java,100.0,88.0
WordSearch.java,100.0,87.0
HighestSetBit.java,82.0,100.0
IndexOfRightMostSetBit.java,83.0,62.0
IsEven.java,33.0,100.0
IsPowerTwo.java,67.0,100.0
NonRepeatingNumberFinder.java,67.0,100.0
NumbersDifferentSigns.java,33.0,75.0
ReverseBits.java,78.0,100.0
SingleBitOperations.java,67.0,100.0
BellmanFord.java,0.0,0.0
BipartiteGrapfDFS.java,0.0,0.0
BoruvkaAlgorithm.java,97.0,83.0
ConnectedComponent.java,0.0,0.0
Cycles.java,0.0,0.0
DIJSKSTRAS_ALGORITHM.java,0.0,0.0
FloydWarshall.java,0.0,0.0
Graphs.java,0.0,0.0
HamiltonianCycle.java,97.0,93.0
KahnsAlgorithm.java,0.0,0.0
Kosaraju.java,100.0,95.0
Kruskal.java,0.0,0.0
MatrixGraphs.java,0.0,0.0
PrimMST.java,0.0,0.0
TarjansAlgorithm.java,100.0,100.0
WelshPowell.java,96.0,85.0
BFPRT.java,0.0,0.0
BankersAlgorithm.java,0.0,0.0
BoyerMoore.java,91.0,100.0
BrianKernighanAlgorithm.java,0.0,0.0
CRC16.java,73.0,94.0
CRC32.java,0.0,0.0
CRCAlgorithm.java,52.0,15.0
Conway.java,83.0,83.0
CountChar.java,33.0,100.0
CountWords.java,85.0,100.0
Damm.java,0.0,0.0
Dijkstra.java,0.0,0.0
EulersFunction.java,87.0,100.0
FibbonaciSeries.java,0.0,0.0
FloydTriangle.java,0.0,0.0
GuassLegendre.java,0.0,0.0
HappyNumbersSeq.java,0.0,0.0
Huffman.java,0.0,0.0
Implementing_auto_completing_features_using_trie.java,0.0,0.0
InsertDeleteInArray.java,0.0,0.0
KMP.java,0.0,0.0
KochSnowflake.java,0.0,0.0
Krishnamurthy.java,0.0,0.0
LineSweep.java,89.0,86.0
LinearCongruentialGenerator.java,0.0,0.0
LowestBasePalindrome.java,93.0,88.0
Luhn.java,0.0,0.0
Mandelbrot.java,0.0,0.0
MaximumSumOfDistinctSubarraysWithLengthK.java,93.0,83.0
MemoryManagementAlgorithms.java,100.0,94.0
MiniMaxAlgorithm.java,0.0,0.0
PageRank.java,0.0,0.0
PasswordGen.java,88.0,83.0
PerlinNoise.java,0.0,0.0
PrintAMatrixInSpiralOrder.java,100.0,88.0
QueueUsingTwoStacks.java,0.0,0.0
RabinKarp.java,0.0,0.0
RemoveDuplicateFromString.java,0.0,0.0
ReturnSubsequence.java,0.0,0.0
ReverseStackUsingRecursion.java,0.0,0.0
RootPrecision.java,0.0,0.0
RotateMatrixBy90Degrees.java,0.0,0.0
SieveOfEratosthenes.java,92.0,100.0
SkylineProblem.java,0.0,0.0
StringMatchFiniteAutomata.java,0.0,0.0
Sudoku.java,0.0,0.0
TowerOfHanoi.java,0.0,0.0
TwoPointers.java,83.0,83.0
Verhoeff.java,0.0,0.0
countSetBits.java,100.0,100.0
ReverseStack.java,0.0,0.0
StackArray.java,0.0,0.0
StackArrayList.java,0.0,0.0
StackOfLinkedList.java,0.0,0.0
BinaryInsertionSort.java,100.0,94.0
BitonicSort.java,0.0,0.0
BogoSort.java,70.0,88.0
BubbleSort.java,100.0,91.0
BubbleSortRecursion.java,0.0,0.0
BucketSort.java,76.0,55.0
CircleSort.java,100.0,96.0
CocktailShakerSort.java,75.0,84.0
CombSort.java,37.0,73.0
CountingSort.java,0.0,0.0
CycleSort.java,0.0,0.0
DNFSort.java,0.0,0.0
DualPivotQuickSort.java,84.0,62.0
DutchNationalFlagSort.java,100.0,82.0
ExchangeSort.java,100.0,70.0
GnomeSort.java,29.0,77.0
HeapSort.java,100.0,90.0
InsertionSort.java,57.0,79.0
IntrospectiveSort.java,28.0,11.0
LinkListSort.java,99.0,44.0
MergeSort.java,100.0,100.0
MergeSortNoExtraSpace.java,0.0,0.0
MergeSortRecursive.java,96.0,81.0
OddEvenSort.java,57.0,52.0
PancakeSort.java,24.0,83.0
PigeonholeSort.java,0.0,0.0
QuickSort.java,100.0,89.0
RadixSort.java,0.0,0.0
SelectionSort.java,50.0,47.0
ShellSort.java,63.0,62.0
SimpleSort.java,36.0,33.0
SlowSort.java,100.0,100.0
SortAlgorithm.java,100.0,100.0
SortUtils.java,72.0,86.0
SortUtilsRandomGenerator.java,80.0,67.0
